name,category,protein (g),calcium (g),sodium (g),fiber (g),vitaminc (g),potassium (g),carbohydrate (g),sugars (g),fat (g),water (g),calories,saturated (g),monounsat (g),polyunsat (g)
"Cereals, QUAKER, Instant Oatmeal EXPRESS, Baked Apple, dry",Breakfast Cereals,8.07,0.204,0.59,7.3,0.0008,0.303,77.43,34.57,4.62,6.35,367,0.788,1.55,1.37
"Cereals, QUAKER, Instant Oatmeal EXPRESS, Golden Brown Sugar, dry",Breakfast Cereals,8.5,0.204,0.538,6.2,0.0,0.248,77.0,32.45,4.78,6.6,372,0.827,1.66,1.44
"Cereals, QUAKER, Instant Oatmeal, Baked Apple, prepared with boiling water",Breakfast Cereals,2.02,0.141,0.144,1.8,0.0002,0.076,19.45,8.78,1.11,76.27,96,0.19,0.384,0.321
"Cereals, QUAKER, Instant Oatmeal, Banana Bread, dry",Breakfast Cereals,8.85,0.268,0.7,6.4,0.0009,0.284,75.86,30.47,4.75,6.68,368,0.785,1.708,1.41
"Cereals, QUAKER, Instant Oatmeal, Cinnamon Spice, prepared with boiling water",Breakfast Cereals,2.4,0.069,0.135,1.8,0.0,0.07,21.52,9.42,1.31,73.8,107,0.226,0.467,0.386
"Cereals, QUAKER, Instant Oatmeal, Cinnamon-Spice, dry",Breakfast Cereals,8.59,0.239,0.482,6.6,0.0001,0.251,76.97,33.7,4.67,6.56,370,0.87,1.67,1.38
"Cereals, QUAKER, Instant Oatmeal, DINOSAUR EGGS with ""DINOSAUR BONES"", Brown Sugar Cinnamon, dry",Breakfast Cereals,7.67,0.22,0.523,5.6,0.0,0.218,75.85,39.0,7.47,6.04,389,3.501,1.52,1.21
"Cereals, QUAKER, Instant Oatmeal, DINOSAUR EGGS with DINOSAUR BONES, Brown Sugar Cinnamon, prepared with boiling water",Breakfast Cereals,2.28,0.067,0.156,1.7,0.0,0.065,22.51,11.57,2.22,72.05,119,1.039,0.451,0.359
"Cereals, QUAKER, Instant Oatmeal, EXPRESS Baked Apple, prepared with boiling water",Breakfast Cereals,2.53,0.065,0.186,2.3,0.0002,0.095,24.24,10.82,1.45,70.61,120,0.247,0.485,0.429
"Cereals, QUAKER, Instant Oatmeal, EXPRESS Cinnamon Roll, prepared with boiling water",Breakfast Cereals,2.77,0.065,0.144,2.1,0.0,0.082,23.9,9.7,1.58,70.75,121,0.267,0.542,0.47
"Cereals, QUAKER, Instant Oatmeal, EXPRESS, Golden Brown Sugar, prepared with boiling water",Breakfast Cereals,2.66,0.065,0.17,2.0,0.0,0.078,24.1,10.16,1.5,70.69,121,0.259,0.52,0.451
"Cereals, QUAKER, Instant Oatmeal, French Vanilla, prepared with boiling water",Breakfast Cereals,2.41,0.07,0.154,1.8,0.0,0.07,20.16,7.88,1.31,75.13,102,0.237,0.471,0.391
"Cereals, QUAKER, Instant Oatmeal, Honey Nut, prepared with boiling water",Breakfast Cereals,2.47,0.067,0.147,1.7,0.0,0.071,19.32,7.97,2.23,75.02,107,0.306,0.57,1.118
"Cereals, QUAKER, Instant Oatmeal, NUTRITION FOR WOMEN, Apple Spice, prepared with boiling water",Breakfast Cereals,3.0,0.242,0.192,1.9,0.0002,0.083,21.02,9.66,1.19,73.23,107,0.198,0.4,0.358
"Cereals, QUAKER, Instant Oatmeal, NUTRITION FOR WOMEN, Golden Brown Sugar, prepared with boiling water",Breakfast Cereals,3.24,0.239,0.199,1.7,0.0,0.088,20.04,7.82,1.32,73.79,105,0.226,0.456,0.389
"Cereals, QUAKER, Instant Oatmeal, Raisin and Spice, dry",Breakfast Cereals,7.76,0.256,0.485,6.2,0.0007,0.361,76.31,36.31,4.27,8.23,360,0.8,1.49,1.34
"Cereals, QUAKER, Instant Oatmeal, Raisin and Spice, prepared",Breakfast Cereals,2.07,0.07,0.13,1.6,0.0002,0.096,20.32,9.67,1.14,75.49,100,0.198,0.397,0.357
"Cereals, QUAKER, Instant Oatmeal, TREASURE HUNT, prepared with boiling water",Breakfast Cereals,2.19,0.065,0.155,1.6,0.0,0.063,21.85,10.27,1.35,73.53,108,0.327,0.446,0.352
"Cereals, QUAKER, Instant Oatmeal, apples and cinnamon, dry",Breakfast Cereals,8.0,0.314,0.506,7.9,0.0012,0.318,77.92,35.53,4.39,6.3,365,0.734,1.51,1.26
"Cereals, QUAKER, Instant Oatmeal, apples and cinnamon, prepared with boiling water",Breakfast Cereals,1.82,0.074,0.111,1.8,0.0002,0.073,17.77,8.1,1.0,78.56,87,0.167,0.344,0.287
"Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry",Breakfast Cereals,7.99,0.314,0.503,5.8,0.0004,0.283,74.72,31.2,7.52,6.39,386,1.588,2.384,1.28
"Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, prepared with boiling water",Breakfast Cereals,1.45,0.059,0.092,1.1,0.0001,0.051,13.56,5.66,1.36,82.93,72,0.288,0.433,0.232
"Cereals, QUAKER, Instant Oatmeal, low sodium, dry",Breakfast Cereals,13.0,0.393,0.278,9.8,0.0,0.375,67.29,1.09,7.09,9.09,365,1.253,2.57,2.83
"Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry",Breakfast Cereals,8.93,0.256,0.606,6.6,0.0,0.258,75.28,30.43,4.83,6.87,366,0.835,1.74,1.44
"Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, prepared with boiling water",Breakfast Cereals,2.38,0.07,0.163,1.8,0.0,0.069,20.04,8.1,1.29,75.13,101,0.222,0.463,0.383
"Cereals, QUAKER, Instant Oatmeal, raisins, dates and walnuts, dry",Breakfast Cereals,8.87,0.288,0.515,6.6,0.0006,0.35,73.69,0.0,5.5,8.12,365,0.94,1.73,2.11
"Cereals, QUAKER, Mother's Instant Oatmeal (Non-Fortified), Dry",Breakfast Cereals,13.7,0.052,0.003,9.5,0.0,0.384,65.81,1.42,7.1,11.5,359,1.34,2.59,2.14
"Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, dry",Breakfast Cereals,17.03,0.079,0.005,14.3,0.0,0.579,62.94,1.43,7.97,8.9,364,1.43,2.61,3.03
"Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, prepared with water, no salt",Breakfast Cereals,2.03,0.011,0.003,1.7,0.0,0.069,7.49,0.0,0.95,89.07,43,0.17,0.31,0.36
"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry",Breakfast Cereals,11.3,0.034,0.003,12.0,0.0,0.411,73.44,0.6,2.58,11.07,333,0.52,0.57,1.28
"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, no salt",Breakfast Cereals,2.08,0.008,0.003,2.2,0.0,0.075,13.49,0.0,0.47,83.58,61,0.096,0.105,0.235
"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, salt",Breakfast Cereals,2.07,0.008,0.07,2.2,0.0,0.075,13.47,0.0,0.47,83.44,61,0.095,0.105,0.235
"Cereals, QUAKER, Quick Oats, Dry",Breakfast Cereals,13.7,0.047,0.003,9.4,0.0,0.358,68.18,1.42,6.87,9.37,371,1.11,1.98,2.3
"Cereals, QUAKER, Scotch Barley, regular and quick, dry",Breakfast Cereals,10.74,0.028,0.007,10.4,0.0,0.261,76.38,0.66,2.24,9.65,346,0.47,0.2,1.03
"Cereals, QUAKER, corn grits, instant, butter flavor, dry",Breakfast Cereals,8.09,0.411,1.31,4.8,0.0,0.147,75.04,0.87,5.51,6.73,366,2.44,0.98,0.51
"Cereals, QUAKER, corn grits, instant, butter flavor, prepared with water",Breakfast Cereals,1.51,0.079,0.247,0.9,0.0,0.028,14.02,0.16,1.03,82.49,71,0.458,0.184,0.096
"Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, dry",Breakfast Cereals,8.37,0.046,1.865,4.2,0.0,0.17,73.08,2.13,5.97,7.6,366,1.76,1.57,0.87
"Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, prepared with water",Breakfast Cereals,1.6,0.011,0.358,0.8,0.0,0.033,14.01,0.41,1.1,82.26,72,0.308,0.284,0.142
"Cereals, QUAKER, corn grits, instant, country bacon (imitation bacon bits), prepared with water",Breakfast Cereals,1.92,0.004,0.293,1.0,0.0,0.04,14.61,0.07,0.33,82.2,69,0.044,0.077,0.167
"Cereals, QUAKER, corn grits, instant, plain, dry",Breakfast Cereals,7.31,0.378,1.05,4.2,0.0,0.163,76.02,1.51,2.14,10.35,359,0.362,0.395,0.967
"Cereals, QUAKER, corn grits, instant, plain, prepared (microwaved or boiling water added), without salt",Breakfast Cereals,1.58,0.064,0.188,1.1,0.0,0.034,15.95,0.1,0.49,81.22,76,0.076,0.081,0.191
"Cereals, QUAKER, corn grits, instant, with imitation bacon bits, dry",Breakfast Cereals,9.85,0.038,1.219,5.3,0.0,0.252,77.35,0.27,1.65,7.3,349,0.24,0.42,0.64
"Cereals, QUAKER, farina, Creamy Wheat, enriched, dry",Breakfast Cereals,10.82,0.012,0.002,2.9,0.0,0.098,76.13,0.3,0.95,11.66,349,0.24,0.08,0.48
"Cereals, QUAKER, farina, enriched cinnamon flavor, dry",Breakfast Cereals,12.11,0.033,0.003,3.7,0.0004,0.104,74.54,0.29,0.79,12.14,346,0.28,0.0,0.0
"Cereals, QUAKER, hominy grits, white, quick, dry",Breakfast Cereals,8.53,0.004,0.002,4.8,0.0,0.146,79.16,1.0,1.36,10.48,347,0.26,0.2,0.68
"Cereals, QUAKER, hominy grits, white, regular, dry",Breakfast Cereals,8.53,0.004,0.002,4.8,0.0,0.146,79.16,1.0,1.36,10.48,347,0.26,0.2,0.68
"Cereals, QUAKER, hominy grits, yellow, quick, dry",Breakfast Cereals,8.26,0.004,0.002,5.6,0.0,0.167,77.76,1.08,1.66,11.74,337,0.45,0.55,0.71
"Cereals, QUAKER, oatmeal, instant, low sodium, prepared with water",Breakfast Cereals,3.59,0.098,0.072,2.3,0.0,0.094,16.67,0.0,1.79,76.98,93,0.341,0.649,0.714
"Cereals, QUAKER, oatmeal, instant, raisins, dates and walnuts, prepared with water",Breakfast Cereals,2.83,0.093,0.165,2.1,0.0002,0.112,23.5,0.0,1.75,70.63,116,0.3,0.552,0.673
"Cereals, RALSTON, cooked with water, with salt",Breakfast Cereals,2.2,0.005,0.188,2.4,0.0,0.061,11.2,0.0,0.3,86.1,53,0.056,0.0,0.0
"Cereals, RALSTON, cooked with water, without salt",Breakfast Cereals,2.2,0.005,0.002,2.4,0.0,0.061,11.2,0.0,0.3,86.1,53,0.052,0.04,0.146
"Cereals, RALSTON, dry",Breakfast Cereals,14.1,0.035,0.011,13.4,0.0,0.392,72.1,0.0,2.1,9.9,341,0.0,0.0,0.0
"Cereals, ROMAN MEAL WITH OATS, cooked with water, with salt",Breakfast Cereals,3.0,0.011,0.225,3.4,0.0,0.107,14.2,0.0,0.8,81.5,71,0.072,0.0,0.0
"Cereals, ROMAN MEAL WITH OATS, cooked with water, without salt",Breakfast Cereals,3.0,0.011,0.004,2.9,0.0,0.107,14.2,0.0,0.8,81.5,71,0.072,0.0,0.0
"Cereals, ROMAN MEAL, plain, cooked with water, with salt",Breakfast Cereals,2.7,0.012,0.082,3.4,0.0,0.125,13.7,0.0,0.4,82.7,61,0.053,0.0,0.0
"Cereals, ROMAN MEAL, plain, cooked with water, without salt",Breakfast Cereals,2.7,0.012,0.001,3.4,0.0,0.125,13.7,0.0,0.4,82.7,61,0.053,0.0,0.0
"Cereals, ROMAN MEAL, plain, dry",Breakfast Cereals,14.4,0.065,0.006,17.9,0.0,0.66,72.0,0.0,2.2,9.1,322,0.326,0.288,1.005
"Cereals, WHEATENA, cooked with water",Breakfast Cereals,2.0,0.004,0.002,2.7,0.0,0.077,11.8,0.0,0.5,85.4,56,0.075,0.071,0.252
"Cereals, WHEATENA, cooked with water, with salt",Breakfast Cereals,2.03,0.006,0.238,2.0,0.0,0.077,11.74,0.25,0.45,85.4,59,0.091,0.067,0.24
"Cereals, WHEATENA, dry",Breakfast Cereals,13.1,0.028,0.013,12.8,0.0,0.492,75.6,1.6,2.9,6.5,357,0.43,0.41,1.46
"Cereals, corn grits, white, regular and quick, enriched, cooked with water, with salt",Breakfast Cereals,1.71,0.001,0.223,0.8,0.0,0.027,14.76,0.12,0.46,82.93,71,0.066,0.064,0.165
"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",Breakfast Cereals,1.71,0.001,0.002,0.8,0.0,0.027,14.76,0.12,0.46,82.93,71,0.066,0.064,0.165
"Cereals, corn grits, white, regular and quick, enriched, dry",Breakfast Cereals,7.65,0.004,0.001,4.6,0.0,0.141,79.09,0.57,1.75,10.92,370,0.34,0.315,0.875
"Cereals, corn grits, white, regular and quick, unenriched, cooked with water, without salt",Breakfast Cereals,1.42,0.003,0.002,0.3,0.0,0.021,12.87,0.1,0.19,85.35,59,0.025,0.048,0.083
"Cereals, corn grits, white, regular and quick, unenriched, dry",Breakfast Cereals,8.8,0.002,0.001,1.6,0.0,0.137,79.6,0.64,1.2,10.0,371,0.155,0.3,0.516
"Cereals, corn grits, white, regular, quick, unenriched, cooked with water, with salt",Breakfast Cereals,1.4,0.0,0.223,0.2,0.0,0.022,13.0,0.0,0.2,85.3,60,0.03,0.05,0.08
"Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt",Breakfast Cereals,1.23,0.001,0.002,0.7,0.0,0.022,13.86,0.09,0.39,84.36,65,0.06,0.062,0.13
"Cereals, corn grits, yellow, regular and quick, enriched, dry",Breakfast Cereals,6.72,0.004,0.002,3.9,0.0,0.118,79.91,0.55,1.49,11.37,368,0.29,0.31,0.72
"Cereals, corn grits, yellow, regular and quick, unenriched, cooked with water, without salt",Breakfast Cereals,1.42,0.003,0.002,0.3,0.0,0.021,12.87,0.1,0.19,85.35,59,0.025,0.048,0.083
"Cereals, corn grits, yellow, regular and quick, unenriched, dry",Breakfast Cereals,8.8,0.002,0.001,1.6,0.0,0.137,79.6,0.64,1.2,10.0,371,0.155,0.3,0.516
"Cereals, corn grits, yellow, regular, quick, enriched, cooked with water, with salt",Breakfast Cereals,1.23,0.001,0.223,0.7,0.0,0.022,13.86,0.09,0.39,84.36,65,0.06,0.062,0.13
"Cereals, corn grits, yellow, regular, quick, unenriched, cooked with water, with salt",Breakfast Cereals,1.42,0.003,0.223,0.3,0.0,0.021,12.87,0.1,0.19,85.35,59,0.025,0.048,0.083
"Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), cooked with water, without salt",Breakfast Cereals,1.82,0.097,0.018,0.8,0.0,0.023,10.92,0.76,0.34,86.55,55,0.066,0.038,0.126
"Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), dry",Breakfast Cereals,11.6,0.711,0.124,4.2,0.0,0.153,73.19,0.56,1.41,11.08,360,0.232,0.15,0.627
"Cereals, farina, enriched, cooked with water, with salt",Breakfast Cereals,1.82,0.097,0.126,0.8,0.0,0.023,10.92,0.76,0.34,86.55,53,0.066,0.038,0.126
"Cereals, farina, enriched, cooked with water, without salt",Breakfast Cereals,1.82,0.097,0.018,0.8,0.0,0.023,10.92,0.76,0.34,86.55,53,0.066,0.038,0.126
"Cereals, farina, unenriched, dry",Breakfast Cereals,10.6,0.014,0.003,1.9,0.0,0.094,78.0,0.0,0.5,10.5,369,0.08,0.06,0.22
"Cereals, oats, instant, fortified, plain, dry",Breakfast Cereals,12.72,0.352,0.278,10.0,0.0,0.359,67.55,1.51,6.25,10.37,375,1.537,2.129,2.426
"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",Breakfast Cereals,2.37,0.08,0.049,1.7,0.0,0.061,11.67,0.46,1.36,84.03,68,0.267,0.37,0.422
"Cereals, oats, instant, fortified, with cinnamon and spice, dry",Breakfast Cereals,8.59,0.239,0.482,6.6,0.0001,0.251,76.97,33.7,4.67,6.56,370,0.808,1.67,1.38
"Cereals, oats, instant, fortified, with cinnamon and spice, prepared with water",Breakfast Cereals,2.4,0.069,0.135,1.8,0.0,0.07,21.52,9.42,1.31,73.8,107,0.226,0.467,0.386
"Cereals, oats, instant, fortified, with raisins and spice, dry",Breakfast Cereals,7.76,0.256,0.485,6.2,0.0007,0.361,76.31,36.31,4.27,8.23,360,0.8,1.49,1.34
"Cereals, oats, instant, fortified, with raisins and spice, prepared with water",Breakfast Cereals,2.07,0.07,0.151,1.6,0.0002,0.096,20.32,9.67,1.14,75.49,100,0.198,0.397,0.357
"Cereals, oats, regular and quick and instant, not fortified, dry",Breakfast Cereals,13.15,0.052,0.006,10.1,0.0,0.362,67.7,0.99,6.52,10.84,379,1.11,1.98,2.3
"Cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), with salt",Breakfast Cereals,2.54,0.009,0.071,1.7,0.0,0.07,12.0,0.27,1.52,83.61,71,0.31,0.435,0.559
"Cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), without salt",Breakfast Cereals,2.54,0.009,0.004,1.7,0.0,0.07,12.0,0.27,1.52,83.61,71,0.31,0.435,0.559
"Cereals, ready-to-eat, ALPEN",Breakfast Cereals,11.2,0.147,0.213,9.1,0.0087,0.568,75.7,20.0,3.3,7.4,352,0.496,1.327,0.925
"Cereals, ready-to-eat, KELLOGG, KELLOGG'S CINNABON cereal",Breakfast Cereals,5.7,0.026,0.385,3.9,0.065,0.129,83.3,41.6,7.0,2.5,410,1.0,3.0,1.4
"Cereals, whole wheat hot natural cereal, cooked with water, with salt",Breakfast Cereals,2.0,0.007,0.233,1.6,0.0,0.071,13.7,0.08,0.4,83.6,62,0.06,0.057,0.202
"Cereals, whole wheat hot natural cereal, cooked with water, without salt",Breakfast Cereals,2.0,0.007,0.0,1.6,0.0,0.071,13.7,0.08,0.4,83.6,62,0.06,0.057,0.202
"Cereals, whole wheat hot natural cereal, dry",Breakfast Cereals,11.2,0.04,0.002,9.5,0.0,0.389,75.2,0.42,2.0,9.9,342,0.3,0.283,1.008
"Incaparina, dry mix (corn and soy flours), unprepared",Breakfast Cereals,21.75,0.6,0.004,9.9,0.0,1.03,60.53,0.0,5.58,7.47,379,0.0,0.0,0.0
KASHI GOLEAN Crisp Toasted Berry Crumble,Breakfast Cereals,17.8,0.137,0.244,14.9,0.0,0.321,68.4,20.9,8.0,4.0,368,1.0,3.6,2.4
Milk and cereal bar,Breakfast Cereals,6.47,0.41,0.319,0.4,0.0154,0.254,72.05,45.97,10.98,8.69,413,9.114,1.186,0.239
"Millet, puffed",Breakfast Cereals,13.0,0.008,0.005,2.7,0.0,0.04,80.0,0.55,3.4,2.5,354,0.67,0.717,1.98
Rice and Wheat cereal bar,Breakfast Cereals,9.09,0.031,0.5,1.8,0.0,0.143,72.73,31.8,9.09,7.5,409,0.0,6.567,2.049
